Variable Description,WIEMIP_Name,WIEMIP Units,TEM Units,WIEMIP Frequency,VarClass,Variable1,Variable2,Operation,Variable Available,Unit Conversions,g_to_kg,Per_mo_to_Per_s,Per_day_to_Per_s,C_to_K,mm_to_kg,VWC_to_kg,Merge,
Active layer thickness,alt,m,m,monthly,1_Units_only,ALD,NA,NA,All,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,merge: merigng base and wet(fire) runs
Nitrogen Inorganic (NH4+ and NO3-) in Soil (including below-ground litter),nInorgSoil,kg N m-2 ,g/m2,annual,1_Units_only,AVLN,NA,NA,All,g -> kg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,
CO2 Emission from Fire,fFire,kg C m-2 s-1,g/m2/mo,monthly,4_Math,BURNVEG2AIRC,BURNSOIL2AIRC,Add,Fire_only,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,
CO2 Emission from Cveg due to Fire,fFireCveg,kg C m-2 s-1,g/m2/mo,monthly,1_Units_only,BURNVEG2AIRC,NA,NA,Fire_only,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,
Carbon emitted from peat fires,ffirepeatTotal,kg C m-2 s-1,g/m2/mo,monthly,1_Units_only,BURNSOIL2AIRC,NA,NA,Fire_only,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,
Wetland methane emissions,wetCH4,kg CH4 m-2 s-1,g/m2/mo,monthly,1_Units_only,CH4EFFLUXTOT,NA,NA,Wetland_only,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,
Carbon in Coarse Woody Debris,cCwd,kg C m-2,g/m2/yr,annual,1_Units_only,DWDC,NA,NA,All,g -> kg,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,
Total Evapo-Transpiration,evapotrans,kg m-2 s-1,mm/m2/mo,monthly,1_Units_only,EET,NA,NA,All,"mm -> kg, mo -> s",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,
Frozen layer thickness,fdepth,m,Probably m,monthly,5_Ignore_for_now,NA,NA,NA,All,N/A,NA,NA,FALSE,FALSE,FALSE,FALSE,1,
Vegtype level GPP,gpppft,kg C m-2 s-1,g/m2/mo,monthly,1_Units_only,GPP,NA,NA,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Gross Primary Production,gpp,kg C m-2 s-1,g/m2/mo,monthly,2_Sum_by_PFT,GPP,NA,NA,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Autotrophic (Plant) Respiration,ra,kg C m-2 s-1,g/m2/mo,monthly,4_Math,gpp,npp,Subtract,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Vegtype level Leaf Area Index,laipft,,m2/m2,monthly,1_Units_only,LAI,NA,NA,All,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,
Leaf Area Index,lai,,m2/m2,monthly,2_Sum_by_PFT,LAI,NA,NA,All,None,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,
Total Carbon Flux from Vegetation Directly to Soil,fVegSoil,kg C m-2 s-1,g/m2/mo,monthly,4_Math,LFNVC ,LFVC,add,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
net Nitrogen mineralisation,fNnetmin,kg N m-2 s-1,g/m2/mo,monthly,1_Units_only,NETNMIN,NA,NA,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Vegtype level NPP,npppft,kg C m-2 s-1,g/m2/mo,monthly,1_Units_only,NPP,NA,NA,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Net Primary Production,npp,kg C m-2 s-1,g/m2/mo,monthly,2_Sum_by_PFT,NPP,NA,NA,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
Nitrogen uptake of Vegetation,fNup,kg N m-2 s-1,g/m2/mo,monthly,4_Math,NUPTAKEST,NUPTAKELAB,Add,All,"g -> kg, mo -> s",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,
