var_name,range_DVMDOSTEM,range_WIEMIP
alt,"[0, 20]","[0, 20]"
nInorgSoil,"[0, 20]","[0, 0.02]"
fFire,"[0, 1000]","[0, 3.8e-4]"
fFireCveg,"[0, 1000]","[0, 3.8e-4]"
ffirepeatTotal,"[0, 1000]","[0, 3.8e-4]"
wetCH4,"[0, 50]","[0, 1.9e-5]"
cCwd,"[0, 50000]","[0, 50]"
evapotrans,"[0, 500]","[0, 1.9e-4]"
gpppft,"[0, 1000]","[0, 3.8e-4]"
gpp,"[0, 1000]","[0, 3.8e-4]"
ra,"[0, 1000]","[0, 3.8e-4]"
laipft,"[0, 20]","[0, 20]"
lai,"[0, 20]","[0, 20]"
fVegSoil,"[0, 1000]","[0, 3.8e-4]"
fNnetmin,"[-10, 10]","[-3.8e-6, 3.8e-6]"
npppft,"[-200, 1000]","[-7.6e-5, 3.8e-4]"
npp,"[-200, 1000]","[-7.6e-5, 3.8e-4]"
fNup,"[0, 10]","[0, 3.8e-6]"
nOrgSoil,"[0, 5000]","[0, 5]"
rhLayers,"[0, 1000]","[0, 3.8e-4]"
rh,"[0, 1000]","[0, 3.8e-4]"
snowDepth,"[0, 20]","[0, 20]"
cSoilLayers,"[0, 200000]","[0, 200]"
cSoil,"[0, 200000]","[0, 200]"
cSoilAbove1m,"[0, 200000]","[0, 200]"
cSoilBelow1m,"[0, 200000]","[0, 200]"
swe,"[0, 2000]","[0, 2000]"
soilT,"[-70, 50]","[203.15, 323.15]"
tveg,"[0, 20]","[0, 2.3e-4]"
cVegpft,"[0, 50000]","[0, 50]"
cVeg,"[0, 50000]","[0, 50]"
nVeg,"[0, 500]","[0, 0.5]"
mrsoLayer,"[0, 1000]","[0, 1000]"
mrso,"[0, 100000]","[0, 100000]"
wtd,"[-100, 10]","[-100, 10]"
