WIEMIP_Experiment_Prefix,Base_Run,Wet_Run,Combine
DVM-DOS-TEM_stable_ctrl,Exp_ctrl_noWetland,Special_ctrl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_stable_ctrl_noFire,Exp_ctrl_noFire_noWetland,Special_ctrl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_stable_ctrl_noWetland,Exp_ctrl_noWetland,NA,FALSE
DVM-DOS-TEM_stable_ctrl_noNitrogen,Special_ctrl_FireOn,Special_ctrl_WetlandOn,TRUE
DVM-DOS-TEM_stable_ctrl_noFire_noWetland,Exp_ctrl_noFire_noWetland,NA,FALSE
DVM-DOS-TEM_stable_bgc,Exp_bgc_noWetland,Special_bgc_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_stable_bgc_noFire,Exp_bgc_noFire_noWetland,Special_bgc_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_stable_bgc_noWetland,Exp_bgc_noWetland,NA,FALSE
DVM-DOS-TEM_stable_bgc_noNitrogen,Special_bgc_FireOn,Special_bgc_WetlandOn,TRUE
DVM-DOS-TEM_stable_bgc_noFire_noWetland,Exp_bgc_noFire_noWetland,NA,FALSE
DVM-DOS-TEM_ukesm_cou,Exp_ukesm_cou_noWetland,Special_cou_ukesm_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_ukesm_cou_noFire,Exp_ukesm_cou_noFire_noWetland,Special_cou_ukesm_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_ukesm_cou_noWetland,Exp_ukesm_cou_noWetland,NA,FALSE
DVM-DOS-TEM_ukesm_cou_noNitrogen,Special_cou_ukesm_FireOn,Special_cou_ukesm_WetlandOn,TRUE
DVM-DOS-TEM_ukesm_cou_noFire_noWetland,Exp_ukesm_cou_noFire_noWetland,NA,FALSE
DVM-DOS-TEM_ipst_cou,Exp_ipsl_cou_noWetland,Special_cou_ipsl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_ipst_cou_noFire,Exp_ipsl_cou_noFire_noWetland,Special_cou_ipsl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_ipst_cou_noWetland,Exp_ipsl_cou_noWetland,NA,FALSE
DVM-DOS-TEM_ipst_cou_noNitrogen,Special_cou_ipsl_FireOn,Special_cou_ipsl_WetlandOn,TRUE
DVM-DOS-TEM_ipst_cou_noFire_noWetland,Exp_ipsl_cou_noFire_noWetland,NA,FALSE
DVM-DOS-TEM_gfdl_cou,Exp_gfdl_cou_noWetland,Special_cou_gfdl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_gfdl_cou_noFire,Exp_gfdl_cou_noFire_noWetland,Special_cou_gfdl_WetlandOn_NitrogenOn,TRUE
DVM-DOS-TEM_gfdl_cou_noWetland,Exp_gfdl_cou_noWetland,NA,FALSE
DVM-DOS-TEM_gfdl_cou_noNitrogen,Special_cou_gfdl_FireOn,Special_cou_gfdl_WetlandOn,TRUE
DVM-DOS-TEM_gfdl_cou_noFire_noWetland,Exp_gfdl_cou_noFire_noWetland,NA,FALSE
